instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
53810695,210198,GOLD19APRFUT,,0.0,2019-04-05,0.0,1.0,1,FUT,MCX,MCX
54225159,211817,GOLD19AUGFUT,,0.0,2019-08-05,0.0,1.0,1,FUT,MCX,MCX
53750791,209964,GOLD19FEBFUT,GOLD.995,0.0,2019-02-05,0.0,1.0,1,FUT,MCX,MCX
54015239,210997,GOLD19JUNFUT,,0.0,2019-06-05,0.0,1.0,1,FUT,MCX,MCX
54221063,211801,GOLDDEC18FEB19FUT,,0.0,2018-12-05,0.0,1.0,1,FUT,MCX,MCX
53840903,210316,GOLDGUINEA18AUGFUT,,0.0,2018-08-31,0.0,1.0,1,FUT,MCX,MCX
54196743,211706,GOLDGUINEA18NOVFUT,,0.0,2018-11-30,0.0,1.0,1,FUT,MCX,MCX
54086919,211277,GOLDGUINEA18OCTFUT,,0.0,2018-10-31,0.0,1.0,1,FUT,MCX,MCX
53988615,210893,GOLDGUINEA18SEPFUT,,0.0,2018-09-28,0.0,1.0,1,FUT,MCX,MCX
54220551,211799,GOLDM18NOVFUT,,0.0,2018-11-05,0.0,1.0,1,FUT,MCX,MCX
54123271,211419,GOLDM18OCTFUT,,0.0,2018-10-05,0.0,1.0,1,FUT,MCX,MCX
53999367,210935,GOLDM18SEPFUT,,0.0,2018-09-05,0.0,1.0,1,FUT,MCX,MCX
54221575,211803,GOLDMOCT18NOV18FUT,,0.0,2018-10-05,0.0,1.0,1,FUT,MCX,MCX
54221319,211802,GOLDMSEP18NOV18FUT,,0.0,2018-09-05,0.0,1.0,1,FUT,MCX,MCX
54124295,211423,GOLDMSEP18OCT18FUT,,0.0,2018-09-05,0.0,1.0,1,FUT,MCX,MCX
53999879,210937,GOLDOCT18DEC18FUT,,0.0,2018-10-05,0.0,1.0,1,FUT,MCX,MCX
54220807,211800,GOLDOCT18FEB19FUT,,0.0,2018-10-05,0.0,1.0,1,FUT,MCX,MCX
53841159,210317,GOLDPETAL18AUGFUT,,0.0,2018-08-31,0.0,1.0,1,FUT,MCX,MCX
54201863,211726,GOLDPETAL18NOVFUT,,0.0,2018-11-30,0.0,1.0,1,FUT,MCX,MCX
54087175,211278,GOLDPETAL18OCTFUT,,0.0,2018-10-31,0.0,1.0,1,FUT,MCX,MCX
53988871,210894,GOLDPETAL18SEPFUT,,0.0,2018-09-28,0.0,1.0,1,FUT,MCX,MCX
54198535,211713,LEAD18DECFUT,,0.0,2018-12-31,0.0,0.05,1,FUT,MCX,MCX
54088455,211283,LEAD18NOVFUT,,0.0,2018-11-30,0.0,0.05,1,FUT,MCX,MCX
53986055,210883,LEAD18OCTFUT,,0.0,2018-10-31,0.0,0.05,1,FUT,MCX,MCX
54198791,211714,LEADMINI18DECFUT,,0.0,2018-12-31,0.0,0.05,1,FUT,MCX,MCX
54088711,211284,LEADMINI18NOVFUT,,0.0,2018-11-30,0.0,0.05,1,FUT,MCX,MCX
53986311,210884,LEADMINI18OCTFUT,,0.0,2018-10-31,0.0,0.05,1,FUT,MCX,MCX
54201095,211723,MENTHAOIL18NOVFUT,,0.0,2018-11-30,0.0,0.1,1,FUT,MCX,MCX
54092295,211298,MENTHAOIL18OCTFUT,,0.0,2018-10-31,0.0,0.1,1,FUT,MCX,MCX
53984775,210878,MENTHAOIL18SEPFUT,,0.0,2018-09-28,0.0,0.1,1,FUT,MCX,MCX
53971207,210825,NATURALGAS18AUGFUT,,0.0,2018-08-28,0.0,0.1,1,FUT,MCX,MCX
54190343,211681,NATURALGAS18OCTFUT,,0.0,2018-10-26,0.0,0.1,1,FUT,MCX,MCX
54077959,211242,NATURALGAS18SEPFUT,,0.0,2018-09-25,0.0,0.1,1,FUT,MCX,MCX
54190599,211682,NATURALGASAUG18OCT18FUT,,0.0,2018-08-28,0.0,0.1,1,FUT,MCX,MCX
54196999,211707,NICKEL18DECFUT,,0.0,2018-12-31,0.0,0.1,1,FUT,MCX,MCX
54088967,211285,NICKEL18NOVFUT,,0.0,2018-11-30,0.0,0.1,1,FUT,MCX,MCX
53986567,210885,NICKEL18OCTFUT,,0.0,2018-10-31,0.0,0.1,1,FUT,MCX,MCX
53844743,210331,NICKEL18SEPFUT,,0.0,2018-09-28,0.0,0.1,1,FUT,MCX,MCX
53801735,210163,NICKELM18AUGFUT,,0.0,2018-08-31,0.0,0.1,1,FUT,MCX,MCX
54197255,211708,NICKELM18DECFUT,,0.0,2018-12-31,0.0,0.1,1,FUT,MCX,MCX
54089223,211286,NICKELM18NOVFUT,,0.0,2018-11-30,0.0,0.1,1,FUT,MCX,MCX
53986823,210886,NICKELM18OCTFUT,,0.0,2018-10-31,0.0,0.1,1,FUT,MCX,MCX
53844999,210332,NICKELM18SEPFUT,,0.0,2018-09-28,0.0,0.1,1,FUT,MCX,MCX
53803015,210168,PEPPER18AUGFUT,,0.0,2018-08-20,0.0,5.0,1,FUT,MCX,MCX
54200583,211721,PEPPER18DECFUT,,0.0,2018-12-20,0.0,5.0,1,FUT,MCX,MCX
54092551,211299,PEPPER18NOVFUT,,0.0,2018-11-20,0.0,5.0,1,FUT,MCX,MCX
53987591,210889,PEPPER18OCTFUT,,0.0,2018-10-19,0.0,5.0,1,FUT,MCX,MCX
53847559,210342,PEPPER18SEPFUT,,0.0,2018-09-20,0.0,5.0,1,FUT,MCX,MCX
138295300,540216,H1224NDARD,HDFC MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
138295044,540215,H1224NDARG,HDFC MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
137862660,538526,HCP36MJNDG,HDFC MUTUAL FUND - HDFC CAPITA,0.0,,0.0,0.01,1,EQ,BSE,BSE
246247940,961906,736NTPC25D,NTPC-7.36%-1B-5-10-25-BOND,0.0,,0.0,0.01,1,EQ,BSE,BSE
244639236,955622,76135KMPL18,KMPL-7.6135%-24-09-18-PVT,0.0,,0.0,0.01,1,EQ,BSE,BSE
128066308,500259,LYKALABS,LYKA LABS,0.0,,0.0,0.05,1,EQ,BSE,BSE
53840391,210314,RBDPMOLEIN18AUGFUT,,0.0,2018-08-31,0.0,0.1,1,FUT,MCX,MCX
54200839,211722,RBDPMOLEIN18NOVFUT,,0.0,2018-11-30,0.0,0.1,1,FUT,MCX,MCX
54091783,211296,RBDPMOLEIN18OCTFUT,,0.0,2018-10-31,0.0,0.1,1,FUT,MCX,MCX
53988103,210891,RBDPMOLEIN18SEPFUT,,0.0,2018-09-28,0.0,0.1,1,FUT,MCX,MCX
54226183,211821,RUBBER18DECFUT,,0.0,2018-12-14,0.0,1.0,1,FUT,MCX,MCX
54225927,211820,RUBBER18NOVFUT,,0.0,2018-11-15,0.0,1.0,1,FUT,MCX,MCX
54225671,211819,RUBBER18OCTFUT,,0.0,2018-10-15,0.0,1.0,1,FUT,MCX,MCX
54225415,211818,RUBBER18SEPFUT,,0.0,2018-09-14,0.0,1.0,1,FUT,MCX,MCX
53511175,209028,SILVER18SEPFUT,Silver,0.0,2018-09-05,0.0,1.0,1,FUT,MCX,MCX
54144007,211500,SILVER19JULFUT,,0.0,2019-07-05,0.0,1.0,1,FUT,MCX,MCX
53786887,210105,SILVER19MARFUT,,0.0,2019-03-05,0.0,1.0,1,FUT,MCX,MCX
54123783,211421,SILVERDEC18MAR19FUT,,0.0,2018-12-05,0.0,1.0,1,FUT,MCX,MCX
53510919,209027,SILVERM18AUGFUT,SILVER MINI 999,0.0,2018-08-31,0.0,1.0,1,FUT,MCX,MCX
53520391,209064,SILVERM18NOVFUT,SILVER MINI 999,0.0,2018-11-30,0.0,1.0,1,FUT,MCX,MCX
53869319,210427,SILVERM19APRFUT,,0.0,2019-04-30,0.0,1.0,1,FUT,MCX,MCX
53787143,210106,SILVERM19FEBFUT,,0.0,2019-02-28,0.0,1.0,1,FUT,MCX,MCX
54144263,211501,SILVERM19JUNFUT,,0.0,2019-06-28,0.0,1.0,1,FUT,MCX,MCX
54090759,211292,SILVERMAUG18FEB19FUT,,0.0,2018-08-31,0.0,1.0,1,FUT,MCX,MCX
53846535,210338,SILVERMAUG18NOV18FUT,,0.0,2018-08-31,0.0,1.0,1,FUT,MCX,MCX
53649927,209570,SILVERMIC18AUGFUT,SILVERMICRO,0.0,2018-08-31,0.0,1.0,1,FUT,MCX,MCX
53779207,210075,SILVERMIC18NOVFUT,SILVERMICRO,0.0,2018-11-30,0.0,1.0,1,FUT,MCX,MCX
54196487,211705,SILVERMIC19APRFUT,,0.0,2019-04-30,0.0,1.0,1,FUT,MCX,MCX
53985031,210879,SILVERMIC19FEBFUT,,0.0,2019-02-28,0.0,1.0,1,FUT,MCX,MCX
54091015,211293,SILVERMNOV18FEB19FUT,,0.0,2018-11-30,0.0,1.0,1,FUT,MCX,MCX
53848327,210345,SILVERSEP18DEC18FUT,,0.0,2018-09-05,0.0,1.0,1,FUT,MCX,MCX
54123527,211420,SILVERSEP18MAR19FUT,,0.0,2018-09-05,0.0,1.0,1,FUT,MCX,MCX
53801991,210164,ZINC18AUGFUT,,0.0,2018-08-31,0.0,0.05,1,FUT,MCX,MCX
54197511,211709,ZINC18DECFUT,,0.0,2018-12-31,0.0,0.05,1,FUT,MCX,MCX
54089479,211287,ZINC18NOVFUT,,0.0,2018-11-30,0.0,0.05,1,FUT,MCX,MCX
53987079,210887,ZINC18OCTFUT,,0.0,2018-10-31,0.0,0.05,1,FUT,MCX,MCX
53845255,210333,ZINC18SEPFUT,,0.0,2018-09-28,0.0,0.05,1,FUT,MCX,MCX
53802247,210165,ZINCMINI18AUGFUT,,0.0,2018-08-31,0.0,0.05,1,FUT,MCX,MCX
54197767,211710,ZINCMINI18DECFUT,,0.0,2018-12-31,0.0,0.05,1,FUT,MCX,MCX
54089735,211288,ZINCMINI18NOVFUT,,0.0,2018-11-30,0.0,0.05,1,FUT,MCX,MCX
53987335,210888,ZINCMINI18OCTFUT,,0.0,2018-10-31,0.0,0.05,1,FUT,MCX,MCX
53845511,210334,ZINCMINI18SEPFUT,,0.0,2018-09-28,0.0,0.05,1,FUT,MCX,MCX
53800455,210158,ALUMINI18AUGFUT,,0.0,2018-08-31,0.0,0.05,1,FUT,MCX,MCX
54198023,211711,ALUMINI18DECFUT,,0.0,2018-12-31,0.0,0.05,1,FUT,MCX,MCX
54087943,211281,ALUMINI18NOVFUT,,0.0,2018-11-30,0.0,0.05,1,FUT,MCX,MCX
53985543,210881,ALUMINI18OCTFUT,,0.0,2018-10-31,0.0,0.05,1,FUT,MCX,MCX
53843719,210327,ALUMINI18SEPFUT,,0.0,2018-09-28,0.0,0.05,1,FUT,MCX,MCX
53800711,210159,ALUMINIUM18AUGFUT,,0.0,2018-08-31,0.0,0.05,1,FUT,MCX,MCX
54198279,211712,ALUMINIUM18DECFUT,,0.0,2018-12-31,0.0,0.05,1,FUT,MCX,MCX
54088199,211282,ALUMINIUM18NOVFUT,,0.0,2018-11-30,0.0,0.05,1,FUT,MCX,MCX
53985799,210882,ALUMINIUM18OCTFUT,,0.0,2018-10-31,0.0,0.05,1,FUT,MCX,MCX
53843975,210328,ALUMINIUM18SEPFUT,,0.0,2018-09-28,0.0,0.05,1,FUT,MCX,MCX
53804039,210172,BRASSPHY18AUGFUT,,0.0,2018-08-30,0.0,0.05,1,FUT,MCX,MCX
54200071,211719,BRASSPHY18DECFUT,,0.0,2018-12-31,0.0,0.05,1,FUT,MCX,MCX
54092039,211297,BRASSPHY18NOVFUT,,0.0,2018-11-29,0.0,0.05,1,FUT,MCX,MCX
53985287,210880,BRASSPHY18OCTFUT,,0.0,2018-10-31,0.0,0.05,1,FUT,MCX,MCX
244745732,956038,0IHFL20A,IHFL-ZC-05-05-20-PVT,0.0,,0.0,0.01,1,EQ,BSE,BSE
135856388,530689,LYKISLTD,LYKIS,0.0,,0.0,0.05,1,EQ,BSE,BSE
53842951,210324,BRASSPHY18SEPFUT,,0.0,2018-09-27,0.0,0.05,1,FUT,MCX,MCX
54144519,211502,CARDAMOM18DECFUT,,0.0,2018-12-14,0.0,0.1,1,FUT,MCX,MCX
54014983,210996,CARDAMOM18NOVFUT,,0.0,2018-11-15,0.0,0.1,1,FUT,MCX,MCX
53810439,210197,CARDAMOM18SEPFUT,,0.0,2018-09-14,0.0,0.1,1,FUT,MCX,MCX
54224903,211816,CARDAMOM19JANFUT,,0.0,2019-01-15,0.0,0.1,1,FUT,MCX,MCX
53806343,210181,CASTORSEED18AUGFUT,,0.0,2018-08-20,0.0,1.0,1,FUT,MCX,MCX
54196231,211704,CASTORSEED18DECFUT,,0.0,2018-12-20,0.0,1.0,1,FUT,MCX,MCX
53988359,210892,CASTORSEED18OCTFUT,,0.0,2018-10-19,0.0,1.0,1,FUT,MCX,MCX
53847303,210341,CASTORSEED18SEPFUT,,0.0,2018-09-20,0.0,1.0,1,FUT,MCX,MCX
53843207,210325,COPPER18NOVFUT,,0.0,2018-11-30,0.0,0.05,1,FUT,MCX,MCX
54087431,211279,COPPER19FEBFUT,,0.0,2019-02-28,0.0,0.05,1,FUT,MCX,MCX
53843463,210326,COPPERM18NOVFUT,,0.0,2018-11-30,0.0,0.05,1,FUT,MCX,MCX
54087687,211280,COPPERM19FEBFUT,,0.0,2019-02-28,0.0,0.05,1,FUT,MCX,MCX
53841927,210320,COTTON18DECFUT,,0.0,2018-12-31,0.0,10.0,1,FUT,MCX,MCX
53841671,210319,COTTON18NOVFUT,,0.0,2018-11-30,0.0,10.0,1,FUT,MCX,MCX
53841415,210318,COTTON18OCTFUT,,0.0,2018-10-31,0.0,10.0,1,FUT,MCX,MCX
54201351,211724,COTTON19JANFUT,,0.0,2019-01-31,0.0,10.0,1,FUT,MCX,MCX
54199303,211716,COTTONNOV18DEC18FUT,,0.0,2018-11-30,0.0,10.0,1,FUT,MCX,MCX
54199047,211715,COTTONOCT18DEC18FUT,,0.0,2018-10-31,0.0,10.0,1,FUT,MCX,MCX
54090503,211291,COTTONOCT18NOV18FUT,,0.0,2018-10-31,0.0,10.0,1,FUT,MCX,MCX
53842695,210323,COTTONREF18DECFUT,,0.0,2018-12-31,0.0,10.0,1,FUT,MCX,MCX
53842439,210322,COTTONREF18NOVFUT,,0.0,2018-11-30,0.0,10.0,1,FUT,MCX,MCX
53842183,210321,COTTONREF18OCTFUT,,0.0,2018-10-31,0.0,10.0,1,FUT,MCX,MCX
54201607,211725,COTTONREF19JANFUT,,0.0,2019-01-31,0.0,10.0,1,FUT,MCX,MCX
54200327,211720,CPO18DECFUT,,0.0,2018-12-31,0.0,0.1,1,FUT,MCX,MCX
54089991,211289,CPO18NOVFUT,,0.0,2018-11-30,0.0,0.1,1,FUT,MCX,MCX
53987847,210890,CPO18OCTFUT,,0.0,2018-10-31,0.0,0.1,1,FUT,MCX,MCX
53840647,210315,CPO18SEPFUT,,0.0,2018-09-28,0.0,0.1,1,FUT,MCX,MCX
54199559,211717,CPOAUG18OCT18FUT,,0.0,2018-08-31,0.0,0.1,1,FUT,MCX,MCX
54199815,211718,CPOSEP18OCT18FUT,,0.0,2018-09-28,0.0,0.1,1,FUT,MCX,MCX
53895943,210531,CRUDEOIL18NOVFUT,,0.0,2018-11-16,0.0,1.0,1,FUT,MCX,MCX
53835015,210293,CRUDEOIL18OCTFUT,,0.0,2018-10-19,0.0,1.0,1,FUT,MCX,MCX
53787399,210107,CRUDEOIL18SEPFUT,,0.0,2018-09-19,0.0,1.0,1,FUT,MCX,MCX
54177543,211631,CRUDEOIL19JANFUT,,0.0,2019-01-18,0.0,1.0,1,FUT,MCX,MCX
54178055,211633,CRUDEOILAUG18OCT18FUT,,0.0,2018-08-20,0.0,1.0,1,FUT,MCX,MCX
54056199,211157,CRUDEOILAUG18SEP18FUT,,0.0,2018-08-20,0.0,1.0,1,FUT,MCX,MCX
53768199,210032,CRUDEOILM18AUGFUT,Light Sweet Crude OilMini,0.0,2018-08-20,0.0,1.0,1,FUT,MCX,MCX
54057223,211161,CRUDEOILM18DECFUT,,0.0,2018-12-18,0.0,1.0,1,FUT,MCX,MCX
